,company,job_link,job_location,job_posted,job_title
0,TIAA,http://www.indeed.com/rc/clk?jk=c13a0f1f2c8f3bcd&fccid=ee5ba787b9f4e31a,"New York, NY 10002 (Lower East Side area)",Just posted,"Data Scientist, Fraud Data Analytics, Enterprise Counter-Fraud"
1,Huawei,http://www.indeed.com/rc/clk?jk=20589484a63ab6af&fccid=d8be85d73018fac8,"Santa Clara, CA",Just posted,Data Scientist
2,Proofpoint,http://www.indeed.com/rc/clk?jk=88441dea622e8a17&fccid=69c7d55b78dc7424,"Sunnyvale, CA 94089",Just posted,Data Scientist
3,Mobile Defense Inc.,http://www.indeed.com/rc/clk?jk=8ddae5deb67e7871&fccid=90b9bb2a9e190547,"Cleveland, OH",Just posted,Data Scientist
4,Inficare,http://www.indeed.com/rc/clk?jk=dd28a2576d36c5e3&fccid=35781c2041de2a91,"New York, NY",Just posted,Data Scientist
5,Continental Technology Solutions,http://www.indeed.com/rc/clk?jk=aab733e36c65e6a7&fccid=664cda5b7c62a987,"San Diego, CA",Just posted,Data Scientist
6,"Cisco Systems, Inc.",http://www.indeed.com/rc/clk?jk=6cb402d057d00c35&fccid=dfc44f3b8c44a6db,"San Jose, CA",Just posted,Data Scientist - Technology and Quality
7,Goodway Group,http://www.indeed.com/rc/clk?jk=3910d2146bc680c1&fccid=920e697cdf154a3c,United States,Just posted,Data Scientist - Virtual
8,The Nielsen Company,http://www.indeed.com/rc/clk?jk=56aea398a23ae3e4&fccid=61bb2b2cdd4507ae,"San Francisco, CA",Just posted,Lead Data Scientist
9,Axius Technologies,http://www.indeed.com/rc/clk?jk=efee1987084eb21b&fccid=e5ea8513745bad23,"Plano, TX",Just posted,Data Scientist
10,Southwest Airlines,http://www.indeed.com/rc/clk?jk=30650412b7997f6f&fccid=96b867feb66827c1,"Dallas, TX",Just posted,Data Scientist
11,Huawei,http://www.indeed.com/rc/clk?jk=7efe2b1c4a240200&fccid=d8be85d73018fac8,"Santa Clara, CA",Just posted,Machine Learning Scientist
12,SAP,http://www.indeed.com/rc/clk?jk=34c152c6de5f695d&fccid=156c7820d1988640,"Newtown Square, PA",Just posted,Data Scientist - SAP Custom Development Job
13,NVIDIA,http://www.indeed.com/rc/clk?jk=2d04fadad02dddda&fccid=c267f29f0f85e8b8,"Santa Clara, CA",Just posted,"Manager, Data Analytics"
14,Cognizant,http://www.indeed.com/rc/clk?jk=f80456c1deaa4cb1&fccid=2df6a1e69a70a1e7,"Bridgewater, NJ",Just posted,Senior Data Scientist
15,IBM,http://www.indeed.com/rc/clk?jk=e307390722c31a2d&fccid=de71a49b535e21cb,"Yorktown Heights, NY",Just posted,Research Scientist - Cognitive Computing
16,Nektar,http://www.indeed.com/rc/clk?jk=2bd4f75fd163c1f7&fccid=2f3c68225a7a644b,"San Francisco, CA",Just posted,Staff Statistical Programmer Analyst
17,Workbridge Associates,http://www.indeed.com/rc/clk?jk=599e199acc33d0d9&fccid=a6920e0a635e5c4e,"New York, NY",Just posted,Senior Data Scientist
18,"MacAulay-Brown, Inc.",http://www.indeed.com/rc/clk?jk=e30e87cedb75a174&fccid=b253b564901b80b5,"Tampa, FL",Just posted,Operations Research Systems Analyst (ORSA)
19,PerkinElmer,http://www.indeed.com/rc/clk?jk=be00b07fca7e72a4&fccid=dedb01f1a81e63e6,"San Francisco, CA",Just posted,Field Application Specialist Representative
20,KellyMitchell,http://www.indeed.com/rc/clk?jk=78a5bd238f21beb9&fccid=f04af0e396ef8298,"Chesterfield, MO",Just posted,Data Scientist - Intermediate
21,Workplace Alaska,http://www.indeed.com/rc/clk?jk=50f153a70ba436c1&fccid=688176850ac24a32,"Juneau, AK",Just posted,Research Analyst I/II/III Flex
22,Proteus Digital Health,http://www.indeed.com/rc/clk?jk=40363d9e252f0f36&fccid=d840199808808f21,"Redwood City, CA 94065",Just posted,Product Data Science Leader (Manager / Senior Manager)
23,Sikorsky,http://www.indeed.com/rc/clk?jk=a287850d951f3c86&fccid=a68cff88bd96c9e9,"New York, NY",Just posted,Database Developer
24,Mitre Corporation,http://www.indeed.com/rc/clk?jk=b08faa54ad2493cf&fccid=fd03a1a845b02aae,"Washington, DC 20024 (South West area)",Just posted,Lead Data Scientist
25,eBay,http://www.indeed.com/rc/clk?jk=c6d7ddad69ff990f&fccid=ccf155b8e5eb4bf8,"San Francisco, CA",Just posted,"Research Scientist, AI"
26,WellCare,http://www.indeed.com/rc/clk?jk=78e167d94943e9b0&fccid=18b6c9d5c740e622,"Tampa, FL 33614",Just posted,Claims Coding Research Analyst
27,Old Dominion University Research Foundation,http://www.indeed.com/rc/clk?jk=f07c0b3740dde74b&fccid=1047e0c3fa3cc19d,"Norfolk, VA",Just posted,Research Scientist
28,Centerstone,http://www.indeed.com/rc/clk?jk=de5c5c788253b0a9&fccid=ea3ef632ccf34190,"Nashville, TN",Just posted,Director of Testing- Flexible Location
29,Amazon Corporate LLC,http://www.indeed.com/rc/clk?jk=12bd52e852481261&fccid=fe2d21eef233e94a,"Seattle, WA",Just posted,Business Intelligence Engineer
30,Selby Jennings,http://www.indeed.com/rc/clk?jk=567799bdcef09ab3&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",Just posted,Catastrophe Risk Analyst - Quantitative
31,U.S. Department of Labor,http://www.indeed.com/rc/clk?jk=446bd9b72da42a60&fccid=bbb3594ec86438e6,"Kansas City, MO",Just posted,Economist / Statistician
32,BOEING,http://www.indeed.com/rc/clk?jk=0030eecc7a521f13&fccid=edae4285faf6c2f0,"Oklahoma City, OK",Just posted,OKC Site Integration - Business Process Analyst
