,company,job_link,job_location,job_posted,job_title
0,Virgin Australia,http://www.indeed.com/rc/clk?jk=e878a8a83d2ae2a2&fccid=6fc61b1e19b99539,Sydney NSW,6 days ago,Data Scientist
1,AGL Energy,http://www.indeed.com/rc/clk?jk=0d01c297c64b07ea&fccid=04bdf85f0d53c42e,Melbourne City Centre VIC,8 days ago,Data Scientist
2,VicSuper,http://www.indeed.com/rc/clk?jk=d1006321ae59e520&fccid=a53fe96b2e366c58,Melbourne City Centre VIC,9 days ago,Data Scientist
3,General Assembly,http://www.indeed.com/rc/clk?jk=49481b391a9be1cc&fccid=a4cd0efa7775ecd2,Sydney NSW,30+ days ago,Part Time Data Science Instructor
4,CSIRO,http://www.indeed.com/rc/clk?jk=22027439f55f2876&fccid=f6e6c4d709d8e570,Sydney NSW,14 days ago,Postdoctoral Fellow - Data Analytics
5,Oneflare,http://www.indeed.com/rc/clk?jk=b21e63711d775880&fccid=524cc6038f9a26af,Sydney NSW,30+ days ago,Data Scientist
6,Atlassian,http://www.indeed.com/rc/clk?jk=b61dc9bc2976ccf0&fccid=e6d4ba9e2cfe7902,Sydney NSW,27 days ago,Data / Product Analyst
7,EY,http://www.indeed.com/rc/clk?jk=71d7092a5d3cae74&fccid=1544766d4c2915b0,Melbourne VIC,17 days ago,Data Scientist
8,CSIRO,http://www.indeed.com/rc/clk?jk=6bee32a45106f007&fccid=f6e6c4d709d8e570,Sydney NSW,1 day ago,CSIRO Postdoctoral Fellow: ASKAP Big Data Innovation Challenge
9,MerchMiner,http://www.indeed.com/rc/clk?jk=dea630d172d52806&fccid=a1b5a19ea0dca1b3,Rose Park SA,6 days ago,DATA SCIENTIST/ALGORITHM NINJA
10,Cover Genius,http://www.indeed.com/rc/clk?jk=e34ead723064b3af&fccid=f2f087e2c0d66903,Sydney NSW,30+ days ago,Data Scientists (Several Roles)
11,Alluvium Consulting,http://www.indeed.com/rc/clk?jk=a441e8809dbbb8c3&fccid=454fc34d3757aa17,Melbourne VIC,14 days ago,Graduate Scientist
12,Claim Central,http://www.indeed.com/rc/clk?jk=f65dda4b38ac5eb9&fccid=80a970adabaa3aad,Matraville NSW,15 days ago,Data Scientist / Senior Data Analyst
13,Prospa,http://www.indeed.com/rc/clk?jk=1a5c10c0b7df8968&fccid=17df7cc727716def,New South Wales,30+ days ago,Data Scientist
